CoreId,associatedObservationReference,Identifier,type,Rating,rightsHolder,creator,accessURI,format,variantLiteral,description,caption,resourceCreationTechnique,captureDevice,physicalSetting,license
892332@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892332,https://xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC892332-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC892332-large.png,image/png,ac:MediumQuality,,Oscillogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
892332@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892332,https://xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC892332-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC892332-large.png,image/png,ac:MediumQuality,,Spectrogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
892332@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC892332,https://xeno-canto.org/sounds/uploaded/TJSRKPHQNP/XC892332-CM-023.mp3,Sound,3,Cedric Mroczko,Cedric Mroczko,https://xeno-canto.org/sounds/uploaded/TJSRKPHQNP/XC892332-CM-023.mp3,audio/mp3,ac:BestQuality,9 s,,automatic recording: no; bitrate: 320000 bps; bitrate mode: cbr; audio sampling rate: 48000 Hz; number of channels: 1; lossy,Sound Devices MixPre 3 II | Wildtronics Pro Mini Parabolic (AOM5024),Natural,CC BY-NC-SA 4.0
891973@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC891973,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/wave/XC891973-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/wave/XC891973-large.png,image/png,ac:MediumQuality,,Oscillogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
891973@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC891973,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/ffts/XC891973-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/ffts/XC891973-large.png,image/png,ac:MediumQuality,,Spectrogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
891973@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC891973,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/XC891973-Crapaud-vert.mp3,Sound,3,Guillaume Dillenseger,Guillaume Dillenseger,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/XC891973-Crapaud-vert.mp3,audio/mp3,ac:BestQuality,14 s,,automatic recording: no; bitrate: 116028 bps; bitrate mode: vbr; audio sampling rate: 48000 Hz; number of channels: 1; lossy,iPhone SE |,Natural,CC BY-NC-SA 4.0
891972@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC891972,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/wave/XC891972-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/wave/XC891972-large.png,image/png,ac:MediumQuality,,Oscillogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
891972@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC891972,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/ffts/XC891972-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/ffts/XC891972-large.png,image/png,ac:MediumQuality,,Spectrogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
891972@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC891972,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/XC891972-Budrio-2.mp3,Sound,3,Guillaume Dillenseger,Guillaume Dillenseger,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/XC891972-Budrio-2.mp3,audio/mp3,ac:BestQuality,31 s,,automatic recording: no; bitrate: 116097 bps; bitrate mode: vbr; audio sampling rate: 48000 Hz; number of channels: 1; lossy,iPhone SE |,Natural,CC BY-NC-SA 4.0
891971@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC891971,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/wave/XC891971-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/wave/XC891971-large.png,image/png,ac:MediumQuality,,Oscillogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
891971@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC891971,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/ffts/XC891971-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/ffts/XC891971-large.png,image/png,ac:MediumQuality,,Spectrogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
891971@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC891971,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/XC891971-Budrio.mp3,Sound,3,Guillaume Dillenseger,Guillaume Dillenseger,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/XC891971-Budrio.mp3,audio/mp3,ac:BestQuality,14 s,,automatic recording: no; bitrate: 116631 bps; bitrate mode: vbr; audio sampling rate: 48000 Hz; number of channels: 1; lossy,iPhone SE |,Natural,CC BY-NC-SA 4.0
891969@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC891969,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/wave/XC891969-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/wave/XC891969-large.png,image/png,ac:MediumQuality,,Oscillogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
891969@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC891969,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/ffts/XC891969-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/ffts/XC891969-large.png,image/png,ac:MediumQuality,,Spectrogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
891969@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC891969,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/XC891969-Parc-de-Pourtale%CC%80s.mp3,Sound,5,Guillaume Dillenseger,Guillaume Dillenseger,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/XC891969-Parc-de-Pourtale%CC%80s.mp3,audio/mp3,ac:BestQuality,6 s,,automatic recording: no; bitrate: 123193 bps; bitrate mode: vbr; audio sampling rate: 48000 Hz; number of channels: 1; lossy,iPhone SE |,Natural,CC BY-NC-SA 4.0
891965@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC891965,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/wave/XC891965-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/wave/XC891965-large.png,image/png,ac:MediumQuality,,Oscillogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
891965@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC891965,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/ffts/XC891965-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/ffts/XC891965-large.png,image/png,ac:MediumQuality,,Spectrogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
891965@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC891965,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/XC891965-Rychnov-u-Novy%CC%81ch-Hradu%CC%8A-2.mp3,Sound,5,Guillaume Dillenseger,Guillaume Dillenseger,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/XC891965-Rychnov-u-Novy%CC%81ch-Hradu%CC%8A-2.mp3,audio/mp3,ac:BestQuality,22 s,,automatic recording: no; bitrate: 114859 bps; bitrate mode: vbr; audio sampling rate: 48000 Hz; number of channels: 1; lossy,iPhone SE |,Natural,CC BY-NC-SA 4.0
891964@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC891964,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/wave/XC891964-large.png,StillImage,,Stichting Xeno-canto voor Natuurgeluiden,Stichting Xeno-canto voor Natuurgeluiden,https://xeno-canto.org/sounds/uploaded/OVLMJHVXNJ/wave/XC891964-large.png,image/png,ac:MediumQuality,,Oscillogram of the first ten seconds of the sound recording,,,,CC BY-NC-SA 4.0
