id,occurrenceID,catalogNumber,basisOfRecord,collectionCode,dynamicProperties,otherCatalogNumbers,genus,specificEpithet,infraspecificEpithet,scientificName,taxonRank,kingdom,family,higherClassification,nomenclaturalCode,identificationRemarks,vernacularName,longitudeDecimal,latitudeDecimal,geodeticDatum,country,locality,verbatimElevation,recordedBy,eventDate,eventTime,verbatimEventDate,fieldNotes,behavior,sex,lifeStage,preparations,references,Associated Taxa,rightsHolder,license
896413@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896413,XC896413,HumanObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""Tascam DR-680 MKII"",""microphone"":""Telinga Pro parabolic microphone""}",,Pelobates,fuscus,,Pelobates fuscus,species,Animalia,Pelobatidae,Animalia|ANURA|Pelobatidae,ICZN,,Common Spadefoot,23.2364,53.1084,WGS84,Poland,"Dojlidy Ponds, Białystok, Podlaskie Voivodeship",140 m,Krzysztof Deoniziak,2017-05-03,10:30,2017-05-03,habitat: fish ponds in urban area; animal seen:no; playback used:no,advertisement call,male,adult,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896413,has background sounds: Bombina bombina,Krzysztof Deoniziak,CC BY-NC
896411@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896411,XC896411,HumanObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""Tascam DR-680 MKII"",""microphone"":""Telinga Pro parabolic microphone""}",,Hyla,arborea,,Hyla arborea,species,Animalia,Hylidae,Animalia|ANURA|Hylidae,ICZN,,Common Tree Frog,23.2364,53.1084,WGS84,Poland,"Dojlidy Ponds, Białystok, Podlaskie Voivodeship",140 m,Krzysztof Deoniziak,2016-05-02,20:30,2016-05-02,habitat: fish ponds in urban area; animal seen:no; playback used:no,advertisement call,male,adult,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896411,has background sounds: Bombina bombina,Krzysztof Deoniziak,CC BY-NC
896409@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896409,XC896409,HumanObservation,Wildlife sounds - Frogs,,,Hyla,arborea,,Hyla arborea,species,Animalia,Hylidae,Animalia|ANURA|Hylidae,ICZN,,Common Tree Frog,21.5353,52.6109,WGS84,Poland,"Turzyn, Mazowieckie Voivodeship",80 m,Krzysztof Deoniziak,2014-03-29,18:00,2014-03-29,habitat: wet meadows in river valley; animal seen:no; playback used:no,advertisement call,male,adult,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896409,,Krzysztof Deoniziak,CC BY-NC
896408@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896408,XC896408,HumanObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""Marantz PMD670"",""microphone"":""Telinga Pro parabolic microphone""}",,Bufotes,viridis,,Bufotes viridis,species,Animalia,Bufonidae,Animalia|ANURA|Bufonidae,ICZN,,Green Toad,16.9488,52.2952,WGS84,Poland,"Daszewice, Wielkopolskie Voivodeship",80 m,Krzysztof Deoniziak,2013-06-09,08:00,2013-06-09,animal seen:yes; playback used:no,advertisement call,male,adult,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896408,has background sounds: Alauda arvensis|Pelophylax lessonae|Bufotes viridis,Krzysztof Deoniziak,CC BY-NC
896407@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896407,XC896407,HumanObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""Tascam DR-680 MKII"",""microphone"":""Telinga Pro parabolic microphone""}",,Bufo,bufo,,Bufo bufo,species,Animalia,Bufonidae,Animalia|ANURA|Bufonidae,ICZN,,Common Toad,23.2364,53.1084,WGS84,Poland,"Dojlidy Ponds, Białystok, Podlaskie Voivodeship",140 m,Krzysztof Deoniziak,2018-04-08,19:30,2018-04-08,habitat: fish ponds in urban area; animal seen:yes; playback used:no,distress call,undetermined,adult,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896407,,Krzysztof Deoniziak,CC BY-NC
896406@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896406,XC896406,HumanObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""mix-pre 3"",""microphone"":""sennheiser MKE600""}",,Pelophylax,ridibundus,,Pelophylax ridibundus,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Marsh Frog,5.9559,44.0235,WGS84,France,"Arrondissement de Digne-les-Bains (near  Les Mées), Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",380 m,Fabrice Schmitt,2024-04-15,10:00,2024-04-15,animal seen:no; playback used:no,territorial call,,,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896406,,Fabrice Schmitt,CC BY-NC
896405@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896405,XC896405,HumanObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""mix-pre 3"",""microphone"":""sennheiser MKE600""}",,Pelophylax,ridibundus,,Pelophylax ridibundus,species,Animalia,Ranidae,Animalia|ANURA|Ranidae,ICZN,,Marsh Frog,5.9559,44.0235,WGS84,France,"Arrondissement de Digne-les-Bains (near  Les Mées), Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur",380 m,Fabrice Schmitt,2024-04-15,10:00,2024-04-15,animal seen:no; playback used:no,territorial call,,,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896405,,Fabrice Schmitt,CC BY-NC
896373@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896373,XC896373,MachineObservation,Wildlife sounds - Frogs,"{""recordingDevice"":""Tascam DR-07"",""microphone"":""Parabolic""}",,Boana,faber,,Boana faber,species,Animalia,Hylidae,Animalia|ANURA|Hylidae,ICZN,,Blacksmith Treefrog,-52.3171,-24.1029,WGS84,Brazil,"Parque Estadual Lago Azul, Campo Mourão,  Paraná",650 m,Luiz C.  Silva,2023-07-21,19:30,2023-07-21,playback used:no,uncertain,undetermined,uncertain,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896373,,Luiz C.  Silva,CC BY-NC
896195@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896195,XC896195,HumanObservation,Wildlife sounds - Frogs,,,Epidalea,calamita,,Epidalea calamita,species,Animalia,Bufonidae,Animalia|ANURA|Bufonidae,ICZN,,Natterjack Toad,4.424,51.4113,WGS84,Belgium,"Arrondissement Antwerpen (near  Kalmthout), Antwerp, Flanders",20 m,Bram Vogels,2021-03-15,09:00,2021-03-15,animal seen:yes; playback used:no,advertisement call,,,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896195,,Bram Vogels,CC BY-NC
896194@XC,https://data.biodiversitydata.nl/xeno-canto/observation/XC896194,XC896194,HumanObservation,Wildlife sounds - Frogs,,,Epidalea,calamita,,Epidalea calamita,species,Animalia,Bufonidae,Animalia|ANURA|Bufonidae,ICZN,,Natterjack Toad,4.424,51.4113,WGS84,Belgium,"Arrondissement Antwerpen (near  Kalmthout), Antwerp, Flanders",20 m,Bram Vogels,2021-04-18,09:00,2021-04-18,animal seen:yes; playback used:no,advertisement call,,,field recording,https://data.biodiversitydata.nl/xeno-canto/observation/XC896194,,Bram Vogels,CC BY-NC
